Adapt_PCName,Adapt_Account,Adapt_IP,Adapt_Facility,Adapt_System,Adapt_DHCP
F100171273,DAB,10.109.176.240,DAB,DAB,No
F100171275,P31,10.111.150.176,P31,P31,No
F100171276,PBI,10.111.206.225,PBI,PBI,No
F100171279,SJC,10.12.30.100,SJC,NCT,No
F100171290,TLH,10.111.24.69,TLH,TLH,No
F100171300,DAB,10.109.176.126,DAB,DAB,No
F100171302,LGB,10.12.50.121,LGB,SCT,No
F100171314,OAK,10.13.178.76,OAK,NCT,No
F100171315,BGM,10.131.20.64,BGM,BGM,Yes
F100171318,RHV,10.12.104.106,RHV,NCT,No
F100171319,PBI,10.111.206.218,PBI,PBI,No
F100171328,ILG,10.136.96.61,ILG,PHL,No
F100171333,MSN,10.38.96.88,MSN,MSN,Yes
F100171365,GFK,10.35.60.49,GFK,FAR,Yes
F100171412,CPR,10.17.48.66,CPR,CPR,Yes
F100171460,APC,10.12.58.100,APC,NCT,No
F100171469,SFO,10.11.28.107,SFO,NCT,No
F100171474,HTS TRACON,10.131.52.60,HTS,HTS,Yes
F100171476,BIL,10.19.96.124,BIL,BIL,Yes
F100171484,SFO,10.11.28.97,SFO,NCT,No
F100171487,AUS,10.41.17.81,AUS,AUS,No
F100171502,MLI Tower,10.35.82.76,MLI,MLI,No
F100171506,HLN,10.20.24.63,HLN,HLN,Yes
F100171511,MOB,10.110.76.240,MOB,MOB,No
F100171514,MGM,10.110.246.72,MGM,MGM,No
F100171517,FAR,10.35.90.74,FAR,FAR,Yes
F100171524,ALO,10.80.120.57,ALO,ALO,No
F100171527,CID,10.80.128.68,CID,CID,Yes
F100171540,MOB,10.110.76.242,MOB,MOB,No
F100171552,SDF,10.109.104.234,SDF,SDF,No
F100171559,CID,10.80.128.65,CID,CID,Yes
F100171567,New Tower PC,10.131.52.62,HTS,HTS,No
F100171572,ILM Tower,10.110.40.218,ILM-T,ILM,No
F100171573,AGC,10.131.16.58,AGC,PIT,No
F100171582,MOB,10.110.40.86,MOB,MOB,No
F100171582,ILM TRACON,10.110.40.86,ILM-R,ILM,No
F100171584,CRP,10.41.56.96,CRP,CRP,No
F100171585,PVD,172.22.43.109,PVD,PVD,No
F100171588,AUS,10.41.17.86,AUS,AUS,No
F100171604,GFK,10.35.60.54,GFK,FAR,Yes
F100171613,S46,10.18.40.176,S46,S46,No
F100171664,ADW,10.130.48.81,ADW,PCT,No
F100171704,ACT,10.42.20.54,ACT,ACT,Yes
F100171713,PCT,10.131.220.66,PCT,PCT,No
F100171741,EVV Tower,10.35.52.80,EVV,EVV,Yes
F100171743,ABE,10.130.40.92,ABE,ABE,No
F100171744,MKE,10.38.88.99,MKE,MKE,No
F100171751,GSP,10.110.36.216,GSP,GSP,Yes
F100171754,BGM,10.131.20.60,BGM,BGM,Yes
F100171755,EVV Tower,10.35.52.81,EVV,EVV,Yes
F100171761,LGA,10.131.180.84,LGA,N90,No
F100171762,SUX,10.80.208.80,SUX,SUX,No
F100171767,LGA,10.131.180.85,LGA,N90,No
F100171768,BJC,10.20.174.68,BJC,D01,No
F100171769,ADS,10.42.24.61,ADS,D10,No
F100171772,AVP Tower,10.132.38.81,AVP,AVP,No
F100171773,ABE,10.130.40.91,ABE,ABE,No
F100171780,BED,172.22.30.49,BED,A90,No
F100171781,EVV TRACON,10.35.52.83,EVV,EVV,Yes
F100171782,AVP TRACON,10.132.38.80,AVP,AVP,No
F100171783,ELM,10.131.24.52,ELM,ELM,Yes
F100171818,BFL Tower,10.12.174.104,BFL,BFL,No
F100171824,FSD,10.35.26.71,FSD,FSD,Yes
F100171826,BFL TRACON,10.12.174.105,BFL,BFL,Yes
F100171838,FSD,10.35.26.74,FSD,FSD,Yes
F100171856,D21,10.44.188.52,D21,D21,No
F100171876,TRI,10.110.84.47,TRI,TRI,Yes
F100171906,TYS Tower,10.110.56.221,TYS,TYS,Yes
F100171916,TYS TRACON,10.110.56.57,TYS,TYS,Yes
F100171936,PBI,10.111.206.223,PBI,PBI,No
F100171941,GSO,10.110.34.67,GSO,GSO,No
F100171945,GGG TRACON,10.44.48.216,GGG,GGG,Yes
F100171958,LAN,10.35.38.73,LAN,AZO,No
F100171959,OMA,10.80.200.64,OMA,R90,No
F100171969,ARB,10.35.106.46,ARB,D21,No
F100171972,LEX,10.110.44.75,LEX,LEX,Yes
F100171973,ILM TRACON,10.110.40.88,ILM-R,ILM,No
F100171981,ALO,10.80.120.84,ALO,ALO,No
F100171997,DLH,10.35.112.87,DLH,DLH,Yes
F100171998,SJU,10.104.154.69,SJU,ZSU,Yes
F100172001,ROW,10.42.28.67,ROW,ROW,No
F100172003,FRG,10.131.50.58,FRG,N90,No
F100172005,FRG,10.131.50.59,FRG,N90,No
F100172014,CLE,10.32.181.51,CLE-R,CLE,No
F100172015,CLE,10.32.181.88,CLE-R,CLE,No
F100172026,MLI TRACON,10.35.82.74,MLI,MLI,No
F100172027,SJU,10.104.154.72,SJU,ZSU,Yes
F100172233,CLE,10.32.181.55,CLE-R,CLE,No
F100176088,ILG,10.136.96.51,ILG,PHL,No
F100179906,PCT,10.131.220.98,PCT,PCT,No
F100183218,FNT,10.35.42.76,FNT,AZO,No
F100183237,ARR,10.35.108.73,ARR,C90,No
F100183257,Tower,10.12.62.166,CCR,NCT,No
F100183274,POU,10.131.36.55,POU,N90,No
F100183286,VGT,10.12.122.247,VGT,L30,No
F100183292,GCN,10.13.82.103,GCN,P50,No
F100183298,PHL,10.128.208.107,PHL,PHL,No
F100183382,SEA,10.18.40.140,SEA,S46,No
F100183393,NEW,10.44.104.54,NEW,MSY,No
F100183401,PRC,10.12.36.113,PRC,P50,No
F100183433,MGM,10.110.246.70,MGM,MGM,No
F100183453,BOI,10.20.172.154,BOI,BOI,No
F100183467,BOI,10.20.172.147,BOI,BOI,No
F100183474,DCA,10.112.200.77,DCA,PCT,No
F100183497,SYR,10.131.42.64,SYR,SYR,No
F100183525,SYR,10.131.42.69,SYR,SYR,No
F100183666,SBA,10.12.32.118,SBA,SBA,No
F100183667,SBA,10.12.32.121,SBA,SBA,No
F100183673,SMO,10.12.114.106,SMO,SCT,No
F100183698,BTR,10.40.240.63,BTR,BTR,No
F100183701,SMO,10.12.114.110,SMO,SCT,No
JA80NWW00048778,A80,10.109.113.105,A80,A80,No
JA80NWW00153725,A80,10.109.113.100,A80,A80,No
JAMANTW00166176,AMA TRACON,10.42.114.74,AMA,AMA,Yes
JBDLTTW00110360,Y90,172.22.40.151,Y90,Y90,No
JBOITTW00100287,BOI,10.20.172.85,BOI,BOI,No
JBOITTW00121521,BOI,10.20.172.50,BOI,BOI,No
JBWITTW00107743,BWI,10.112.192.214,BWI,PCT,No
JDCATTW00052912,DCA,10.112.200.155,DCA,PCT,No
JDCATTW00053323,DCA,10.112.200.255,DCA,PCT,No
JDVTTTW00153674,DVT,10.13.84.104,DVT,P50,No
JGCNTTW00135934,GCN,10.13.82.100,GCN,P50,Yes
JI90NTW00122261,I90,10.44.245.71,I90,I90,No
JL30NTW00122626,L30,10.11.138.114,L30,L30,No
JOGGTTW00122237,OGG,10.12.28.119,OGG,ITO,No
JORFTTW00109118,ORF,10.112.232.82,ORF,ORF,No
JPAETTW00108531,PAE,10.20.110.50,PAE,S46,No
JPCTNTW00170869,PCT,10.131.220.57,PCT,PCT,No
JPOUTTW00072972,POU,10.131.36.215,POU,N90,No
JPWMNTW00110536,PWM,172.22.39.100,PWM,PWM,No
JTULTTW00089778,TUL Tower,10.64.64.201,TUL,TUL,No
JTYSTTL01170493,TYS TRACON,10.110.56.228,TYS,TYS,Yes
JU90NTW00136221,U90,10.12.26.110,U90,U90,No
F100167457,MYF,10.12.88.107,MYF,SCT,No
F100171505,VNY,10.12.124.115,VNY,SCT,No
F100171778,EMT,10.12.74.111,EMT,SCT,No
,,,,,
